sku,rmsse,weight,weighted_error,active_days,total_qty,last_7_qty,last_28_qty,last_56_qty,last_84_qty
SKU-14554,0.9411933576527118,5.498282776625023e-05,5.17494722785578e-05,81,123.0,0.0,3.0,4.0,5.0
SKU-01325,1.4322222760719387,3.603765918562139e-05,5.161393826313548e-05,20,21.0,3.0,7.0,11.0,13.0
SKU-06205,0.2395152566877827,0.00021479968312775982,5.144780124079978e-05,65,405.0,1.0,1.0,41.0,80.0
SKU-05989,0.38755027672298475,0.0001327106494876063,5.1432048933008854e-05,106,231.0,4.0,6.0,6.0,11.0
SKU-04964,3.7129594540867314,1.3844481894791835e-05,5.140399993819993e-05,13,14.0,1.0,1.0,1.0,1.0
SKU-15244,0.6724348519036532,7.636436048575197e-05,5.135005743395381e-05,62,382.0,0.0,4.0,18.0,18.0
SKU-00421,3.216099042024337,1.5962017267554364e-05,5.133542844295752e-05,18,19.0,2.0,6.0,7.0,13.0
SKU-09456,0.9837657928302765,5.2088955041588104e-05,5.124333215418855e-05,85,623.0,0.0,4.0,36.0,40.0
SKU-10494,4.058617945112485,1.262239957158304e-05,5.1229497411607075e-05,8,14.0,0.0,5.0,14.0,14.0
SKU-01611,1.440727074399325,3.555703571589642e-05,5.1227984041275754e-05,32,41.0,2.0,6.0,14.0,16.0
SKU-01098,0.5537415860660382,9.24556007932906e-05,5.11965110239652e-05,174,452.0,0.0,0.0,0.0,1.0
SKU-03174,1.273250571739006,4.018726977547234e-05,5.116846421824983e-05,11,13.0,0.0,0.0,0.0,0.0
SKU-11046,0.29899119243924643,0.00017055966201958916,5.0995836729271816e-05,120,180.0,-1.0,0.0,21.0,24.0
SKU-11034,0.4748785014712497,0.00010716608611490439,5.0890870382784694e-05,91,108.0,0.0,3.0,7.0,9.0
SKU-11256,0.7649381524074373,6.64840612166587e-05,5.085619495161387e-05,89,234.0,0.0,5.0,28.0,34.0
SKU-12000,0.1235084444051455,0.0004111828874383192,5.078455879352284e-05,426,779.0,0.0,4.0,6.0,12.0
SKU-00266,4.921262018846088,1.0282117714024064e-05,5.060099537933119e-05,7,10.0,5.0,10.0,10.0,10.0
SKU-14879,0.24072745232395645,0.00020988033629969102,5.0523958650319816e-05,165,477.0,0.0,12.0,19.0,28.0
SKU-11909,0.5522802099898799,9.139166816149413e-05,5.04738096835554e-05,214,290.0,5.0,9.0,17.0,23.0
SKU-09653,0.6473745104212003,7.7829068918632e-05,5.038455538773724e-05,80,87.0,0.0,0.0,0.0,0.0
SKU-03639,0.4666663395074861,0.0001079577414364874,5.038024401766123e-05,108,119.0,0.0,0.0,2.0,3.0
SKU-11142,0.45901315505299217,0.00010964045079309162,5.0326409239969324e-05,30,1941.0,1.0,124.0,365.0,785.0
SKU-08175,0.9986247282505565,5.0210954192223616e-05,5.014190048541045e-05,47,45.0,0.0,0.0,1.0,2.0
SKU-02422,0.8183094251535457,6.12294086687456e-05,5.010460221021274e-05,42,41.0,0.0,0.0,0.0,0.0
SKU-06893,0.5863331763713726,8.491845801564027e-05,4.9790509220869406e-05,63,72.0,0.0,1.0,1.0,1.0
SKU-06279,1.5223761443002521,3.269815541468965e-05,4.977889176594564e-05,34,54.0,0.0,5.0,7.0,7.0
SKU-09465,0.31763574071843476,0.00015653818261357399,4.972212158518018e-05,112,242.0,6.0,10.0,11.0,26.0
SKU-04192,2.609963049224745,1.9014165684486968e-05,4.962626984834812e-05,14,15.0,0.0,0.0,2.0,2.0
SKU-15434,1.1600886277716675,4.270084257483089e-05,4.953676186732957e-05,62,337.0,0.0,14.0,35.0,40.0
SKU-12585,1.4304654404517756,3.4593002502210596e-05,4.948409456087405e-05,35,80.0,0.0,0.0,2.0,2.0
SKU-11645,0.2971685511034985,0.00016596920093496148,4.9320826969647914e-05,172,647.0,4.0,5.0,7.0,35.0
SKU-10057,0.4937297311586987,9.97833901114414e-05,4.926602637382552e-05,137,590.0,7.0,28.0,28.0,28.0
SKU-09587,0.37096688608971556,0.00013265495816861924,4.921059675617416e-05,174,273.0,0.0,0.0,5.0,14.0
SKU-13668,1.9621497636146803,2.5061794530721746e-05,4.9174994214215364e-05,8,8.0,0.0,0.0,0.0,0.0
SKU-09980,2.3128875830219635,2.1242458874698897e-05,4.9131419364145794e-05,45,132.0,5.0,14.0,20.0,31.0
SKU-07156,1.4832800671854613,3.3072680506833804e-05,4.905604776417974e-05,9,5.0,0.0,0.0,0.0,0.0
SKU-11064,0.3983217643343452,0.00012303022097948787,4.900561468699398e-05,92,167.0,0.0,1.0,1.0,3.0
SKU-03896,0.14234842367520534,0.0003441552024995792,4.898995057543618e-05,82,312.0,2.0,4.0,10.0,18.0
SKU-10526,0.9812047901716229,4.98951191688028e-05,4.8957329934613266e-05,27,40.0,0.0,4.0,4.0,9.0
SKU-07885,0.7398299887768276,6.612920297935677e-05,4.892436749803807e-05,40,36.0,0.0,0.0,3.0,4.0
